Type,Model Year,JD,RA (deg),Obliquity (deg)
VE,-299455,-107652460.661876,357.255694,0.000000
SS,-299455,-107652368.983128,87.255711,23.386799
AE,-299455,-107652279.942545,177.255756,-0.000000
WS,-299455,-107652189.030253,267.255772,-23.386781
VE,-299426,-107641868.645925,357.259312,0.000000
SS,-299426,-107641776.946443,87.259329,23.385734
AE,-299426,-107641687.904749,177.259374,-0.000000
WS,-299426,-107641597.013085,267.259390,-23.385715
VE,-299397,-107631276.630075,357.262918,-0.000000
SS,-299397,-107631184.909850,87.262935,23.384659
AE,-299397,-107631095.866880,177.262979,-0.000000
WS,-299397,-107631004.995843,267.262995,-23.384640
VE,-299368,-107620684.614327,357.266511,-0.000000
SS,-299368,-107620592.873352,87.266527,23.383575
AE,-299368,-107620503.828939,177.266572,-0.000000
WS,-299368,-107620412.978528,267.266587,-23.383557
VE,-299339,-107610092.598681,357.270090,-0.000000
SS,-299339,-107610000.836947,87.270106,23.382483
AE,-299339,-107609911.790926,177.270151,-0.000000
WS,-299339,-107609820.961139,267.270166,-23.382464
VE,-299310,-107599500.583135,357.273656,0.000000
SS,-299310,-107599408.800638,87.273672,23.381381
AE,-299310,-107599319.752841,177.273717,-0.000000
WS,-299310,-107599228.943675,267.273732,-23.381362
VE,-299281,-107588908.567690,357.277209,-0.000000
SS,-299281,-107588816.764425,87.277225,23.380271
AE,-299281,-107588727.714687,177.277270,-0.000000
WS,-299281,-107588636.926134,267.277285,-23.380252
VE,-299252,-107578316.552344,357.280749,-0.000000
SS,-299252,-107578224.728309,87.280764,23.379152
AE,-299252,-107578135.676462,177.280809,-0.000000
WS,-299252,-107578044.908517,267.280824,-23.379133
VE,-299223,-107567724.537098,357.284275,-0.000000
SS,-299223,-107567632.692292,87.284290,23.378024
AE,-299223,-107567543.638168,177.284335,-0.000000
WS,-299223,-107567452.890823,267.284349,-23.378005
VE,-299194,-107557132.521952,357.287787,-0.000000
SS,-299194,-107557040.656373,87.287802,23.376888
